Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CAS Oustsystem,Chrome 115.0.0.0,,,2023-07-25 14:03:10,2023-07-25 14:03:23,12.565s,PASSED
,,,,,,,
Test Cases/LoginOutsystem,Chrome 115.0.0.0,,,2023-07-25 14:03:10,2023-07-25 14:03:18,7.542s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-25 14:03:11,2023-07-25 14:03:13,2.566s,PASSED
"navigateToUrl(""https://cmiti-tst.outsystemsenterprise.com/AccountingSystem/MainPage"")",Chrome 115.0.0.0,,,2023-07-25 14:03:13,2023-07-25 14:03:14,0.627s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-25 14:03:14,2023-07-25 14:03:14,0.160s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Login/input_LOGIN_Input_Username2""), ""Jonna Rili"")",Chrome 115.0.0.0,,,2023-07-25 14:03:14,2023-07-25 14:03:17,2.664s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Login/input_LOGIN_Input_Password2""), ""iFGeFYmXIrU6ruIopQUS+w=="")",Chrome 115.0.0.0,,,2023-07-25 14:03:17,2023-07-25 14:03:17,0.657s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Login/button_Login""))",Chrome 115.0.0.0,,,2023-07-25 14:03:17,2023-07-25 14:03:18,0.553s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 115.0.0.0,,,2023-07-25 14:03:18,2023-07-25 14:03:23,4.778s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Home Page/i_Rili,Jonna Sr. Finance Officer_icon fa fa_be7e34""))",Chrome 115.0.0.0,,,2023-07-25 14:03:18,2023-07-25 14:03:21,2.624s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Home Page/span_Logout""))",Chrome 115.0.0.0,,,2023-07-25 14:03:21,2023-07-25 14:03:21,0.525s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Home Page/button_Logout""))",Chrome 115.0.0.0,,,2023-07-25 14:03:21,2023-07-25 14:03:22,0.521s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-25 14:03:22,2023-07-25 14:03:23,0.742s,PASSED
