Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CAS Oustsystem,Chrome 115.0.0.0,,,2023-07-25 17:22:08,2023-07-25 17:22:52,44.473s,PASSED
,,,,,,,
Test Cases/LoginOutsystem,Chrome 115.0.0.0,,,2023-07-25 17:22:08,2023-07-25 17:22:18,9.611s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-25 17:22:09,2023-07-25 17:22:12,3.755s,PASSED
"navigateToUrl(""https://cmiti-tst.outsystemsenterprise.com/AccountingSystem/MainPage"")",Chrome 115.0.0.0,,,2023-07-25 17:22:12,2023-07-25 17:22:13,0.787s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-25 17:22:13,2023-07-25 17:22:13,0.213s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Login/input_LOGIN_Input_Username2""), ""Jonna Rili"")",Chrome 115.0.0.0,,,2023-07-25 17:22:13,2023-07-25 17:22:16,2.618s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Login/input_LOGIN_Input_Password2""), ""iFGeFYmXIrU6ruIopQUS+w=="")",Chrome 115.0.0.0,,,2023-07-25 17:22:16,2023-07-25 17:22:17,0.950s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Login/button_Login""))",Chrome 115.0.0.0,,,2023-07-25 17:22:17,2023-07-25 17:22:18,0.764s,PASSED
,,,,,,,
Test Cases/Manage Roles,Chrome 115.0.0.0,,,2023-07-25 17:22:18,2023-07-25 17:22:43,24.822s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Home Page/div_Utilities""))",Chrome 115.0.0.0,,,2023-07-25 17:22:19,2023-07-25 17:22:20,1.473s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Home Page/div_Utilities_1""))",Chrome 115.0.0.0,,,2023-07-25 17:22:20,2023-07-25 17:22:21,0.644s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Home Page/span_Manage Roles""))",Chrome 115.0.0.0,,,2023-07-25 17:22:21,2023-07-25 17:22:22,0.721s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/select_Please Select PositionGeneral Accoun_7b558e""), ""4"", true)",Chrome 115.0.0.0,,,2023-07-25 17:22:22,2023-07-25 17:22:25,3.293s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/input_Adjustment Enrties_l4-110_0-Checkbox9""))",Chrome 115.0.0.0,,,2023-07-25 17:22:25,2023-07-25 17:22:27,1.509s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/button_Save""))",Chrome 115.0.0.0,,,2023-07-25 17:22:27,2023-07-25 17:22:27,0.842s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/span_Accounts""))",Chrome 115.0.0.0,,,2023-07-25 17:22:27,2023-07-25 17:22:29,2.019s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/div_Adjustments""))",Chrome 115.0.0.0,,,2023-07-25 17:22:29,2023-07-25 17:22:30,0.673s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_Manage Roles/span_Adjustment Entries""))",Chrome 115.0.0.0,,,2023-07-25 17:22:30,2023-07-25 17:22:31,0.710s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntries/button_OK""))",Chrome 115.0.0.0,,,2023-07-25 17:22:31,2023-07-25 17:22:33,1.787s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntries/div_Accounts""))",Chrome 115.0.0.0,,,2023-07-25 17:22:33,2023-07-25 17:22:33,0.827s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntries/span_Adjustments""))",Chrome 115.0.0.0,,,2023-07-25 17:22:33,2023-07-25 17:22:34,1.046s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntries/span_Adjustment Details""))",Chrome 115.0.0.0,,,2023-07-25 17:22:34,2023-07-25 17:22:35,0.694s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntriesDetails/div_Accounts""))",Chrome 115.0.0.0,,,2023-07-25 17:22:35,2023-07-25 17:22:36,1.355s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntriesDetails/div_Accounts""))",Chrome 115.0.0.0,,,2023-07-25 17:22:36,2023-07-25 17:22:37,0.658s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntriesDetails/div_Report""))",Chrome 115.0.0.0,,,2023-07-25 17:22:37,2023-07-25 17:22:38,1.006s,PASSED
"click(findTestObject(""Object Repository/Manage Roles/Page_AdjustingEntriesDetails/span_Book of Accounts""))",Chrome 115.0.0.0,,,2023-07-25 17:22:38,2023-07-25 17:22:39,0.653s,PASSED
